lender,lender_city,lender_state,do_code,sba_do_name,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
"Newtek Bank, National Association",Miami,FL,681,SAN ANTONIO DISTRICT OFFICE,89,45753000,34463250,514078.65,75.32
"JPMorgan Chase Bank, National Association",Columbus,OH,920,SANTA ANA DISTRICT OFFICE,130,45616600,28312450,350896.92,62.07
Platinum Bank,Oakdale,MN,508,MINNESOTA DISTRICT OFFICE,42,45272600,31613900,1077919.05,69.83
Live Oak Banking Company,Wilmington,NC,507,ILLINOIS DISTRICT OFFICE,34,44710000,33207500,1315000.0,74.27
"Zions Bank, A Division of",Salt Lake City,UT,883,UTAH DISTRICT OFFICE,184,44501500,32517115,241855.98,73.07
"TD Bank, National Association",Wilmington,DE,303,PHILADELPHIA DISTRICT OFFICE,297,44353900,27831800,149339.73,62.75
"Newtek Bank, National Association",Miami,FL,954,SAN DIEGO DISTRICT OFFICE,66,44183000,33114250,669439.39,74.95
First Internet Bank of Indiana,Fishers,IN,515,MICHIGAN DISTRICT OFFICE,36,44067000,32616648,1224083.33,74.02
"Harvest Small Business Finance, LLC",Laguna Hills,CA,920,SANTA ANA DISTRICT OFFICE,40,43927300,32945475,1098182.5,75.0
Live Oak Banking Company,Wilmington,NC,988,ARIZONA DISTRICT OFFICE,33,43711000,32433250,1324575.76,74.2
"Harvest Small Business Finance, LLC",Laguna Hills,CA,914,LOS ANGELES DISTRICT OFFICE,31,43567300,32675475,1405396.77,75.0
KeyBank National Association,Cleveland,OH,1013,SEATTLE DISTRICT OFFICE,107,43465700,30936625,406221.5,71.17
"T Bank, National Association",Dallas,TX,610,DALLAS / FT WORTH DISTRICT OFFICE,26,43254700,32441025,1663642.31,75.0
Rockland Trust Company,Rockland,MA,101,MASSACHUSETTS DISTRICT OFFICE,125,43228700,30375165,345829.6,70.27
Old National Bank,Evansville,IN,507,ILLINOIS DISTRICT OFFICE,33,42941200,31537150,1301248.48,73.44
