lender,lender_city,lender_state,project_state,project_county,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
Northeast Bank,Lewiston,ME,OH,FAYETTE,1,50000,42500.0,50000.0,85.0
Heritage Bank of the Ozarks,Lebanon,MO,MO,CAMDEN,1,50000,25000.0,50000.0,50.0
KeyBank National Association,Cleveland,OH,OR,BENTON,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,ME,LINCOLN,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,AL,CHILTON,1,50000,42500.0,50000.0,85.0
Quaint Oak Bank,Southampton,PA,VA,RICHMOND CITY,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,IN,MADISON,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,WI,DUNN,1,50000,42500.0,50000.0,85.0
Arvest Bank,Fayetteville,AR,AR,CONWAY,1,50000,25000.0,50000.0,50.0
Manufacturers and Traders Trust Company,Buffalo,NY,NY,JEFFERSON,1,50000,42500.0,50000.0,85.0
Peoples Bank,Mendenhall,MS,TX,SMITH,1,50000,25000.0,50000.0,50.0
"U.S. Bank, National Association",Cincinnati,OH,WA,GRAYS HARBOR,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,NY,WASHINGTON,1,50000,42500.0,50000.0,85.0
"U.S. Bank, National Association",Cincinnati,OH,OH,CLARK,1,50000,25000.0,50000.0,50.0
Community 1st CU,Ottumwa,IA,IA,JASPER,1,50000,25000.0,50000.0,50.0
First Children's Finance,Minneapolis,MN,MN,HENNEPIN,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,TX,JIM WELLS,1,50000,42500.0,50000.0,85.0
Rhinebeck Bank,Poughkeepsie,NY,NY,ORANGE,1,50000,25000.0,50000.0,50.0
"Newtek Bank, National Association",Miami,FL,GA,WHITFIELD,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,MT,ROOSEVELT,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,VA,HANOVER,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,AL,BIBB,1,50000,42500.0,50000.0,85.0
"SouthState Bank, National Association",Winter Haven,FL,KY,MADISON,1,50000,42500.0,50000.0,85.0
Umpqua Bank,Roseburg,OR,ID,ELMORE,1,50000,25000.0,50000.0,50.0
First Financial Bank,El Dorado,AR,NC,SAMPSON,1,50000,42500.0,50000.0,85.0
"Newtek Bank, National Association",Miami,FL,CA,IMPERIAL,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,GA,BALDWIN,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,GA,HOUSTON,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,WI,IRON,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,ID,KOOTENAI,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,OH,PICKAWAY,1,50000,42500.0,50000.0,85.0
BayFirst National Bank,Saint Petersburg,FL,OH,WAYNE,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,WI,DOUGLAS,1,50000,37500.0,50000.0,75.0
Northeast Bank,Lewiston,ME,GA,BULLOCH,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,GA,FANNIN,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,KY,MCCRACKEN,1,50000,42500.0,50000.0,85.0
"U.S. Bank, National Association",Cincinnati,OH,IA,MADISON,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,CA,BUTTE,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,MN,OTTER TAIL,1,50000,42500.0,50000.0,85.0
The Bank of Missouri,Perryville,MO,MO,CHRISTIAN,1,50000,25000.0,50000.0,50.0
United Community Bank,Perham,MN,MN,BECKER,1,50000,25000.0,50000.0,50.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,SC,SPARTANBURG,3,50000,25000.0,16666.67,50.0
Flagstar Bank National Association,Hicksville,NY,AZ,MARICOPA,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,IA,SCOTT,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,NC,DAVIDSON,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,VA,PORTSMOUTH CITY,1,50000,42500.0,50000.0,85.0
Telhio Credit Union Inc,Columbus,OH,OH,CUYAHOGA,1,50000,25000.0,50000.0,50.0
First Savings Bank,Jeffersonville,IN,OH,HAMILTON,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,CA,MADERA,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,CT,WESTERN CT,1,50000,42500.0,50000.0,85.0
"PNC Bank, National Association",Wilmington,DE,TX,BRAZORIA,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,MN,MILLE LACS,1,50000,42500.0,50000.0,85.0
First Merchants Bank,Indianapolis,IN,IN,CLINTON,1,50000,25000.0,50000.0,50.0
First Merchants Bank,Indianapolis,IN,IN,TIPPECANOE,1,50000,25000.0,50000.0,50.0
PriorityOne Bank,Magee,MS,MS,SMITH,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,CA,MENDOCINO,1,50000,37500.0,50000.0,75.0
"Readycap Lending, LLC",Berkeley Heights,NJ,NE,KEITH,1,50000,42500.0,50000.0,85.0
Stearns Bank National Association,Saint Cloud,MN,OH,HAMILTON,1,50000,42500.0,50000.0,85.0
First Children's Finance,Minneapolis,MN,MN,WASHINGTON,1,50000,42500.0,50000.0,85.0
Umpqua Bank,Roseburg,OR,CA,TEHAMA,1,50000,25000.0,50000.0,50.0
First Merchants Bank,Indianapolis,IN,OH,LUCAS,1,50000,25000.0,50000.0,50.0
"JPMorgan Chase Bank, National Association",Columbus,OH,TX,WOOD,1,50000,25000.0,50000.0,50.0
"Newtek Bank, National Association",Miami,FL,MO,GREENE,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,AL,MONROE,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,OR,HOOD RIVER,1,50000,42500.0,50000.0,85.0
Stearns Bank National Association,Saint Cloud,MN,CO,DENVER,1,50000,42500.0,50000.0,85.0
Umpqua Bank,Roseburg,OR,CA,GLENN,2,50000,25000.0,25000.0,50.0
Bank Rhode Island,Providence,RI,MA,BRISTOL,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,MN,GOODHUE,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,OH,HIGHLAND,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,KY,BOYD,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,MS,TISHOMINGO,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,CA,SAN BENITO,1,50000,42500.0,50000.0,85.0
Commerce Bank,Kansas City,MO,IL,SAINT CLAIR,1,50000,25000.0,50000.0,50.0
D. L. Evans Bank,Burley,ID,ID,BANNOCK,1,50000,25000.0,50000.0,50.0
Fifth Third Bank,Cincinnati,OH,KY,CAMPBELL,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,LA,SAINT LANDRY,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,CT,NAUGATUCK VLY,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,TX,GUADALUPE,1,50000,42500.0,50000.0,85.0
Summit CU,Cottage Grove,WI,WI,SAUK,1,50000,25000.0,50000.0,50.0
KeyBank National Association,Cleveland,OH,PA,PIKE,1,50000,25000.0,50000.0,50.0
Old National Bank,Evansville,IN,IN,MADISON,1,50000,25000.0,50000.0,50.0
"PNC Bank, National Association",Wilmington,DE,IN,SHELBY,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,ME,WALDO,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,OH,COLUMBIANA,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,MS,NOXUBEE,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,MS,TATE,1,50000,42500.0,50000.0,85.0
Banner Bank,Walla Walla,WA,WA,PEND OREILLE,1,50000,25000.0,50000.0,50.0
Community Capital Development Corporation,Dublin,OH,OH,LUCAS,1,50000,42500.0,50000.0,85.0
"Newtek Bank, National Association",Miami,FL,WA,LEWIS,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,MS,LEE,1,50000,42500.0,50000.0,85.0
Oriental Bank,San Juan,PR,PR,ARECIBO,1,50000,25000.0,50000.0,50.0
Oriental Bank,San Juan,PR,PR,CEIBA,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,MT,SILVER BOW,1,50000,42500.0,50000.0,85.0
Umpqua Bank,Roseburg,OR,CA,BUTTE,1,50000,25000.0,50000.0,50.0
Umpqua Bank,Roseburg,OR,WA,CLALLAM,1,50000,25000.0,50000.0,50.0
Economic Development Bank for Puerto Rico,N Juan                      Pr,0,PR,MANATI,1,50000,42500.0,50000.0,85.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,GA,CLAYTON,3,50000,25000.0,16666.67,50.0
Black Hills FCU,Rapid City,SD,SD,LAWRENCE,1,50000,25000.0,50000.0,50.0
Colony Bank,Fitzgerald,GA,NC,MCDOWELL,1,50000,42500.0,50000.0,85.0
Customers Bank,Malvern,PA,NJ,CAPE MAY,1,50000,42500.0,50000.0,85.0
KeyBank National Association,Cleveland,OH,WA,DOUGLAS,1,50000,25000.0,50000.0,50.0
Webster Bank National Association,Waterbury,CT,PA,PIKE,1,50000,25000.0,50000.0,50.0
CorTrust Bank National Association,Mitchell,SD,MN,HUBBARD,1,50000,25000.0,50000.0,50.0
KeyBank National Association,Cleveland,OH,PA,LUZERNE,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,IL,SAINT CLAIR,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,NE,BUFFALO,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,OH,MARION,1,50000,42500.0,50000.0,85.0
"TD Bank, National Association",Wilmington,DE,CT,NEW LONDON,1,50000,25000.0,50000.0,50.0
Midland States Bank,Effingham,IL,MO,JACKSON,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,IA,DUBUQUE,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,NC,LINCOLN,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,NY,BROOME,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,CO,LINCOLN,1,50000,42500.0,50000.0,85.0
Washington Trust Bank,Spokane,WA,WA,KITSAP,1,50000,42500.0,50000.0,85.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,NC,GATES,1,50000,25000.0,50000.0,50.0
Farmers & Merchants Savings Bank,Manchester,IA,MN,DAKOTA,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,PA,SCHUYLKILL,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,GA,TIFT,1,50000,42500.0,50000.0,85.0
Umpqua Bank,Roseburg,OR,WA,PACIFIC,1,50000,25000.0,50000.0,50.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,TX,ROCKWALL,3,50000,25000.0,16666.67,50.0
Northeast Bank,Lewiston,ME,NE,CASS,1,50000,42500.0,50000.0,85.0
"U.S. Bank, National Association",Cincinnati,OH,MO,PETTIS,1,50000,25000.0,50000.0,50.0
"JPMorgan Chase Bank, National Association",Columbus,OH,VA,RICHMOND CITY,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,MD,CECIL,1,50000,42500.0,50000.0,85.0
"PNC Bank, National Association",Wilmington,DE,GA,COWETA,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,SC,SPARTANBURG,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,KS,DOUGLAS,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,NC,STOKES,1,50000,42500.0,50000.0,85.0
Stearns Bank National Association,Saint Cloud,MN,MN,OLMSTED,1,50000,42500.0,50000.0,85.0
"U.S. Bank, National Association",Cincinnati,OH,TN,CAMPBELL,1,50000,25000.0,50000.0,50.0
Umpqua Bank,Roseburg,OR,ID,BOUNDARY,1,50000,25000.0,50000.0,50.0
University First FCU,Salt Lake City,UT,UT,BOX ELDER,1,50000,25000.0,50000.0,50.0
"Zions Bank, A Division of",Salt Lake City,UT,NV,NYE,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,TN,GREENE,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,MI,LAPEER,1,50000,42500.0,50000.0,85.0
CDC Small Business Finance Corporation,San Diego,CA,FL,DUVAL,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,VA,HAMPTON CITY,1,50000,42500.0,50000.0,85.0
Platinum Bank,Oakdale,MN,CA,LOS ANGELES,1,50000,25000.0,50000.0,50.0
"UMB Bank, National Association",Kansas City,MO,KS,MIAMI,1,50000,25000.0,50000.0,50.0
American Community Bank & Trust,Woodstock,IL,IL,MCHENRY,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,MN,STEARNS,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,VT,CALEDONIA,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,GA,GILMER,1,50000,42500.0,50000.0,85.0
Florence Bank,Florence,MA,MA,FRANKLIN,1,50000,25000.0,50000.0,50.0
HomeTrust Bank,Asheville,NC,VA,HANOVER,1,50000,25000.0,50000.0,50.0
KeyBank National Association,Cleveland,OH,UT,SUMMIT,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,WI,OUTAGAMIE,1,50000,42500.0,50000.0,85.0
"PNC Bank, National Association",Wilmington,DE,NJ,CUMBERLAND,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,GA,CARROLL,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,MI,VAN BUREN,1,50000,42500.0,50000.0,85.0
CDC Small Business Finance Corporation,San Diego,CA,MI,MACOMB,1,50000,42500.0,50000.0,85.0
"Citibank, N.A.",Sioux Falls,SD,NY,PUTNAM,1,50000,25000.0,50000.0,50.0
KeyBank National Association,Cleveland,OH,MA,HAMPDEN,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,KS,STANTON,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,PA,LUZERNE,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,TN,HAMILTON,1,50000,42500.0,50000.0,85.0
Stearns Bank National Association,Saint Cloud,MN,CA,TULARE,1,50000,42500.0,50000.0,85.0
BankVista,Sartell,MN,MN,BLUE EARTH,1,50000,25000.0,50000.0,50.0
Camden National Bank,Camden,ME,NH,SULLIVAN,1,50000,25000.0,50000.0,50.0
D. L. Evans Bank,Burley,ID,UT,DAVIS,1,50000,25000.0,50000.0,50.0
"PNC Bank, National Association",Wilmington,DE,AL,BARBOUR,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,NJ,SUSSEX,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,TX,ELLIS,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,MO,JEFFERSON,1,50000,42500.0,50000.0,85.0
"PNC Bank, National Association",Wilmington,DE,WI,WASHINGTON,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,NC,BRUNSWICK,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,KY,LOGAN,1,50000,42500.0,50000.0,85.0
"TD Bank, National Association",Wilmington,DE,PA,MONROE,2,50000,25000.0,25000.0,50.0
"JPMorgan Chase Bank, National Association",Columbus,OH,AZ,GRAHAM,1,50000,25000.0,50000.0,50.0
"TD Bank, National Association",Wilmington,DE,MD,CECIL,1,50000,25000.0,50000.0,50.0
"U.S. Bank, National Association",Cincinnati,OH,IN,LAKE,1,50000,25000.0,50000.0,50.0
First Merchants Bank,Indianapolis,IN,IN,KOSCIUSKO,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,KY,KENTON,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,GA,CHATHAM,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,AK,MATANUSKA SUSITNA,1,50000,42500.0,50000.0,85.0
"Newtek Bank, National Association",Miami,FL,IL,MACON,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,AR,SALINE,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,OR,POLK,1,50000,42500.0,50000.0,85.0
Washington Trust Bank,Spokane,WA,WA,DOUGLAS,1,50000,42500.0,50000.0,85.0
"PNC Bank, National Association",Wilmington,DE,NY,NEW YORK,1,50000,25000.0,50000.0,50.0
BankVista,Sartell,MN,MN,KOOCHICHING,1,50000,25000.0,50000.0,50.0
First Merchants Bank,Indianapolis,IN,IN,MORGAN,1,50000,25000.0,50000.0,50.0
"Newtek Bank, National Association",Miami,FL,UT,SEVIER,1,50000,25000.0,50000.0,50.0
Bank OZK,Little Rock,AR,GA,BARTOW,1,50000,25000.0,50000.0,50.0
BayFirst National Bank,Saint Petersburg,FL,TX,PARKER,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,MN,AITKIN,1,50000,42500.0,50000.0,85.0
FNB Bank,Goodland,KS,CO,DENVER,1,50000,25000.0,50000.0,50.0
Lake Ridge Bank,Cross Plains,WI,WI,IOWA,1,50000,25000.0,50000.0,50.0
First Merchants Bank,Indianapolis,IN,IN,ALLEN,1,50000,25000.0,50000.0,50.0
"JPMorgan Chase Bank, National Association",Columbus,OH,TX,GUADALUPE,1,50000,25000.0,50000.0,50.0
"U.S. Bank, National Association",Cincinnati,OH,SC,RICHLAND,2,50000,25000.0,25000.0,50.0
Umpqua Bank,Roseburg,OR,OR,WALLOWA,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,MS,TATE,1,50000,42500.0,50000.0,85.0
"Mountain Bizcapital, Inc.",Asheville,NC,NC,WATAUGA,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,KY,FAYETTE,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,KY,SHELBY,1,50000,42500.0,50000.0,85.0
Live Oak Banking Company,Wilmington,NC,OK,GRADY,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,AL,SHELBY,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,AR,SEBASTIAN,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,IA,MILLS,1,50000,42500.0,50000.0,85.0
First Resource Bank,Lino Lakes,MN,WA,CLALLAM,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,IA,CALHOUN,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,MO,PULASKI,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,TX,BRAZOS,1,50000,42500.0,50000.0,85.0
Cache Valley Bank,Logan,UT,GA,DEKALB,1,50000,25000.0,50000.0,50.0
"Bremer Bank, National Association",Saint Paul,MN,MN,SCOTT,1,50000,25000.0,50000.0,50.0
"JPMorgan Chase Bank, National Association",Columbus,OH,AZ,NAVAJO,1,50000,25000.0,50000.0,50.0
"Newtek Bank, National Association",Miami,FL,MS,LEFLORE,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,TX,WILSON,1,50000,42500.0,50000.0,85.0
Umpqua Bank,Roseburg,OR,AZ,MARICOPA,1,50000,25000.0,50000.0,50.0
"Alaska Growth Capital BIDCO, Inc.",Anchorage,AK,AK,NORTH SLOPE,1,50000,42500.0,50000.0,85.0
Manufacturers and Traders Trust Company,Buffalo,NY,MD,CECIL,1,50000,42500.0,50000.0,85.0
"PNC Bank, National Association",Wilmington,DE,PA,CHESTER,1,50000,25000.0,50000.0,50.0
Umpqua Bank,Roseburg,OR,CA,SANTA CLARA,1,50000,25000.0,50000.0,50.0
BankVista,Sartell,MN,MN,WRIGHT,1,50000,25000.0,50000.0,50.0
Colony Bank,Fitzgerald,GA,GA,WALTON,1,50000,42500.0,50000.0,85.0
MY CU,Bloomington,MN,MN,POPE,1,50000,25000.0,50000.0,50.0
The Washington Trust Company of Westerly,Westerly,RI,RI,KENT,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,AL,CHAMBERS,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,MD,WICOMICO,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,SC,ANDERSON,1,50000,42500.0,50000.0,85.0
Umpqua Bank,Roseburg,OR,WA,JEFFERSON,1,50000,25000.0,50000.0,50.0
"Newtek Bank, National Association",Miami,FL,MS,ADAMS,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,NM,LEA,1,50000,42500.0,50000.0,85.0
ProGrowth Bank,Nicollet,MN,MN,NICOLLET,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,GA,LEE,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,NY,COLUMBIA,1,50000,42500.0,50000.0,85.0
Nicolet National Bank,Green Bay,WI,WI,DOOR,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,IN,GREENE,1,50000,42500.0,50000.0,85.0
Umpqua Bank,Roseburg,OR,CA,TRINITY,1,50000,25000.0,50000.0,50.0
UniBank for Savings,Whitinsville,MA,MA,NORFOLK,1,50000,25000.0,50000.0,50.0
Cadence Bank,Tupelo,MS,VT,WINDHAM,1,50000,42500.0,50000.0,85.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,VA,NORFOLK CITY,3,50000,25000.0,16666.67,50.0
National Institutes of Health FCU,Rockville,MD,TN,DAVIDSON,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,LA,SAINT LANDRY,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,TN,SULLIVAN,1,50000,42500.0,50000.0,85.0
Washington Trust Bank,Spokane,WA,ID,PAYETTE,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,SC,GEORGETOWN,1,50000,42500.0,50000.0,85.0
West Central Development Corporation,Perrysburg,OH,MI,WAYNE,1,50000,42500.0,50000.0,85.0
First Merchants Bank,Indianapolis,IN,IN,JAY,1,50000,25000.0,50000.0,50.0
PriorityOne Bank,Magee,MS,MS,HARRISON,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,KY,PENDLETON,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,TX,JACKSON,1,50000,42500.0,50000.0,85.0
Stearns Bank National Association,Saint Cloud,MN,TX,DENTON,1,50000,42500.0,50000.0,85.0
The Cape Cod Five Cents Savings Bank,Hyannis,MA,MA,NANTUCKET,1,50000,25000.0,50000.0,50.0
"JPMorgan Chase Bank, National Association",Columbus,OH,OK,TULSA,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,TN,HICKMAN,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,UT,DAVIS,1,50000,42500.0,50000.0,85.0
"Newtek Bank, National Association",Miami,FL,NC,PITT,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,MO,TANEY,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,NC,CHOWAN,1,50000,42500.0,50000.0,85.0
MidWestOne Bank,Iowa City,IA,IA,POLK,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,IN,JOHNSON,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,NC,STANLY,1,50000,42500.0,50000.0,85.0
"PNC Bank, National Association",Wilmington,DE,NY,SULLIVAN,1,50000,25000.0,50000.0,50.0
Pentucket Bank,Haverhill,MA,NH,ROCKINGHAM,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,MN,DOUGLAS,1,50000,42500.0,50000.0,85.0
Texell CU,Temple,TX,TX,DALLAS,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,MA,FRANKLIN,1,50000,42500.0,50000.0,85.0
"TD Bank, National Association",Wilmington,DE,FL,BRADFORD,1,50000,25000.0,50000.0,50.0
The Huntington National Bank,Columbus,OH,WV,RALEIGH,1,50000,37500.0,50000.0,75.0
"U.S. Bank, National Association",Cincinnati,OH,CA,IMPERIAL,1,50000,25000.0,50000.0,50.0
"U.S. Bank, National Association",Cincinnati,OH,OH,SHELBY,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,GA,LEE,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,NC,HARNETT,1,50000,42500.0,50000.0,85.0
The Huntington National Bank,Columbus,OH,OH,KNOX,1,50000,42500.0,50000.0,85.0
D. L. Evans Bank,Burley,ID,ID,MADISON,1,50000,25000.0,50000.0,50.0
Northeast Bank,Lewiston,ME,IN,MIAMI,1,50000,42500.0,50000.0,85.0
"PNC Bank, National Association",Wilmington,DE,MI,LAKE,1,50000,25000.0,50000.0,50.0
Celtic Bank Corporation,Salt Lake City,UT,SC,GREENVILLE,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,MT,RAVALLI,1,50000,42500.0,50000.0,85.0
"PNC Bank, National Association",Wilmington,DE,MO,JACKSON,1,50000,25000.0,50000.0,50.0
"Readycap Lending, LLC",Berkeley Heights,NJ,MD,CALVERT,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,IA,JOHNSON,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,IL,CHAMPAIGN,1,50000,42500.0,50000.0,85.0
"Readycap Lending, LLC",Berkeley Heights,NJ,HI,MAUI,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,GA,CARROLL,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,IL,MONROE,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,IN,ALLEN,1,50000,42500.0,50000.0,85.0
Northeast Bank,Lewiston,ME,MS,YALOBUSHA,1,50000,42500.0,50000.0,85.0
