lender,lender_city,lender_state,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
Neighborhood National Bank,El Cajon,CA,3,1740400,1310300.0,580133.33,75.29
Merchants Commercial Bank,Charlotte Amalie,VI,8,1734000,1106100.0,216750.0,63.79
Peoples Bank & Trust,Buford,GA,2,1729500,1312125.0,864750.0,75.87
Primis Bank,Tappahannock,VA,3,1725300,1204975.0,575100.0,69.84
CommerceWest Bank,Irvine,CA,5,1715000,1181250.0,343000.0,68.88
Elevate Bank National Association,Sedan,KS,5,1714800,1300960.0,342960.0,75.87
Oakworth Capital Bank,Birmingham,AL,2,1713500,1285125.0,856750.0,75.0
Community State Bank,Galva,IL,3,1710000,1290770.0,570000.0,75.48
"First Bankers Trust Company, National Association",Quincy,IL,6,1701000,1242000.0,283500.0,73.02
Security Bank USA,Bemidji,MN,13,1698900,849450.0,130684.62,50.0
Northfield Savings Bank,Northfield,VT,1,1695700,1271775.0,1695700.0,75.0
Riverside Bank of Dublin,Dublin,OH,4,1694700,1277025.0,423675.0,75.35
"Austin Bank, Texas National Association",Jacksonville,TX,4,1692000,1275300.0,423000.0,75.37
Union Bank and Trust Company,Minneapolis,MN,2,1691500,1268625.0,845750.0,75.0
Dacotah Bank,Aberdeen,SD,5,1687000,1071875.0,337400.0,63.54
First Guaranty Bank,Hammond,LA,7,1682600,1067660.0,240371.43,63.45
City & County CU,Saint Paul,MN,3,1680300,1212025.0,560100.0,72.13
Bank of Colorado,Fort Collins,CO,2,1680000,1260000.0,840000.0,75.0
Northway Bank,Berlin,NH,37,1668000,1021950.0,45081.08,61.27
United Republic Bank,Elkhorn,NE,1,1665800,1249350.0,1665800.0,75.0
First Western Trust Bank,Denver,CO,1,1663000,1247250.0,1663000.0,75.0
"PyraMax Bank, FSB",Greenfield,WI,7,1650000,1148150.0,235714.29,69.58
Morris Bank,Dublin,GA,1,1645100,1233825.0,1645100.0,75.0
The Hocking Valley Bank,Athens,OH,1,1645000,1233750.0,1645000.0,75.0
Farmers State Bank,Marion,IA,6,1640500,1257875.0,273416.67,76.68
Bank of St. Francisville,Saint Francisville,LA,1,1623400,1217550.0,1623400.0,75.0
Silver Lake Bank,Topeka,KS,7,1620000,810000.0,231428.57,50.0
Barwick Banking Company,Barwick,GA,5,1618400,1213800.0,323680.0,75.0
Home Federal Savings Bank,Rochester,MN,3,1615000,1219750.0,538333.33,75.53
First American Bank,Artesia,NM,3,1604500,1194625.0,534833.33,74.45
Peoples Bank of Commerce,Medford,OR,4,1596800,1223180.0,399200.0,76.6
The Cape Cod Five Cents Savings Bank,Hyannis,MA,15,1595900,1053010.0,106393.33,65.98
California Statewide Certified Development Corporation,Davis,CA,7,1595000,1225750.0,227857.14,76.85
Chemung Canal Trust Company,Elmira,NY,16,1592700,796350.0,99543.75,50.0
Union Savings Bank,Danbury,CT,8,1590000,845000.0,198750.0,53.14
Platte Valley Bank,Torrington,WY,6,1590000,795000.0,265000.0,50.0
The Commercial Bank,De Kalb,MS,3,1588200,1200910.0,529400.0,75.61
Icon Business Bank,Riverside,CA,2,1587800,1190850.0,793900.0,75.0
Arcadian Bank,Hartland,MN,4,1585000,1042500.0,396250.0,65.77
Fidelity Bank,Mandeville,LA,4,1578300,1088600.0,394575.0,68.97
Bank of Travelers Rest,Travelers Rest,SC,5,1568600,1101450.0,313720.0,70.22
United Cumberland Bank,Whitley City,KY,4,1554000,777000.0,388500.0,50.0
1st State Bank,Saginaw,MI,4,1548000,1153500.0,387000.0,74.52
Bonvenu Bank NA,Bossier City,LA,5,1531200,1088075.0,306240.0,71.06
South Eastern Economic Development Corporation,Taunton,MA,11,1530000,1228000.0,139090.91,80.26
Wildfire CU,Saginaw,MI,5,1528700,1146525.0,305740.0,75.0
Exchange Bank,Santa Rosa,CA,5,1520000,902500.0,304000.0,59.38
"VeraBank, National Association",Henderson,TX,3,1490600,1131450.0,496866.67,75.91
VisionBank,Saint Louis Park,MN,4,1482500,1023625.0,370625.0,69.05
Royal Banks of Missouri,University City,MO,8,1482500,950250.0,185312.5,64.1
American Bank,Allentown,PA,5,1475000,1068250.0,295000.0,72.42
Monterey County Bank,Monterey,CA,5,1468000,1101000.0,293600.0,75.0
Olympia Federal Savings & Loan Association,Olympia,WA,4,1461400,1109350.0,365350.0,75.91
Fidelity Co-Operative Bank,Leominster,MA,1,1460000,1095000.0,1460000.0,75.0
Omni Community CU,Battle Creek,MI,3,1454900,1105455.0,484966.67,75.98
Crews Bank and Trust,Wauchula,FL,2,1452500,1101125.0,726250.0,75.81
Ambler Savings Bank,Ambler,PA,2,1450000,1062500.0,725000.0,73.28
Covington County Bank,Collins,MS,11,1445500,787000.0,131409.09,54.44
Grand Ridge National Bank,Wheaton,IL,2,1440000,1080000.0,720000.0,75.0
First Citizens State Bank,Whitewater,WI,2,1428700,1074395.0,714350.0,75.2
CenterBank,Milford,OH,5,1423900,903550.0,284780.0,63.46
Ledyard National Bank,Norwich,VT,1,1415000,1061250.0,1415000.0,75.0
The Hicksville Bank,Hicksville,OH,4,1404000,1073500.0,351000.0,76.46
First Commerce Bank,Lakewood,NJ,1,1400000,1050000.0,1400000.0,75.0
Arbor Bank,Nebraska City,NE,6,1395000,847500.0,232500.0,60.75
Guaranty Bank & Trust Company,Belzoni,MS,2,1390100,1042575.0,695050.0,75.0
Sunnyside Federal Savings and Loan Association of Irvington,Irvington,NY,3,1385000,1038750.0,461666.67,75.0
Farmers & Merchants Bank of Long Beach,Long Beach,CA,3,1382500,1036875.0,460833.33,75.0
i3 Bank,Bennington,NE,2,1382400,1036800.0,691200.0,75.0
Service FCU,Portsmouth,NH,23,1367700,683850.0,59465.22,50.0
"Triad Bank, National Association",Tulsa,OK,4,1367200,1019150.0,341800.0,74.54
St. Mary's Bank,Manchester,NH,13,1366500,683250.0,105115.38,50.0
Saratoga National Bank and Trust Company,Saratoga Springs,NY,10,1360000,805000.0,136000.0,59.19
Rhinebeck Bank,Poughkeepsie,NY,8,1355000,838999.0,169375.0,61.92
Economic Development Bank for Puerto Rico,N Juan                      Pr,0,15,1353300,1120235.0,90220.0,82.78
Cathay Bank,Los Angeles,CA,4,1350000,1012500.0,337500.0,75.0
"Mountain Bizcapital, Inc.",Asheville,NC,7,1350000,1110000.0,192857.14,82.22
First General Bank,Rowland Heights,CA,3,1350000,1017500.0,450000.0,75.37
"Clear Mountain Bank, Inc.",Bruceton Mills,WV,12,1349500,674750.0,112458.33,50.0
First National Bank of Oklahoma,Oklahoma City,OK,1,1349200,1011900.0,1349200.0,75.0
UniBank for Savings,Whitinsville,MA,25,1347600,673800.0,53904.0,50.0
Aspire Bank,Fargo,ND,6,1345000,863750.0,224166.67,64.22
Farmers State Bank,Victor,MT,3,1328100,983575.0,442700.0,74.06
First Security Bank,Searcy,AR,6,1324400,870600.0,220733.33,65.74
Texas Security Bank,Dallas,TX,1,1318000,988500.0,1318000.0,75.0
Central State Bank,Calera,AL,3,1302000,976500.0,434000.0,75.0
Watertown Savings Bank,Watertown,NY,7,1288000,846375.0,184000.0,65.71
Arizona Financial Credit Union,Phoenix,AZ,8,1286000,920600.0,160750.0,71.59
NBKC Bank,Leawood,KS,6,1282500,976125.0,213750.0,76.11
Legacy State Bank,Loganville,GA,1,1277000,957750.0,1277000.0,75.0
Community First Bank,Kennewick,WA,11,1272500,645000.0,115681.82,50.69
Camden National Bank,Camden,ME,6,1267800,633900.0,211300.0,50.0
"Citizens Bank of West Virginia, Inc",Elkins,WV,4,1253000,626500.0,313250.0,50.0
bankHometown,Oxford,MA,2,1252900,913950.0,626450.0,72.95
OnPoint Community Credit Union,Portland,OR,3,1250000,625000.0,416666.67,50.0
The Ohio Valley Bank Company,Gallipolis,OH,1,1250000,937500.0,1250000.0,75.0
Northern State Bank of Virginia,Virginia,MN,2,1247900,935925.0,623950.0,75.0
Sunshine State Economic Development Corporation,Clearwater,FL,7,1235800,983930.0,176542.86,79.62
Community Bank of the Bay,Oakland,CA,1,1225000,918750.0,1225000.0,75.0
Worthington Bank,Arlington,TX,2,1225000,918750.0,612500.0,75.0
Unity National Bank of Houston,Houston,TX,3,1214000,910500.0,404666.67,75.0
"Florida Capital Bank, National Association",Jacksonville,FL,1,1208000,906000.0,1208000.0,75.0
The Croghan Colonial Bank,Fremont,OH,2,1207600,905700.0,603800.0,75.0
Providence Bank & Trust,South Holland,IL,2,1206800,905100.0,603400.0,75.0
Community State Bank,Union Grove,WI,5,1206800,852630.0,241360.0,70.65
Black Business Investment Fund Inc.,Orlando,FL,5,1200000,903750.0,240000.0,75.31
Bank3,Memphis,TN,2,1200000,900000.0,600000.0,75.0
First State Bank of Middlebury,Middlebury,IN,4,1195000,888750.0,298750.0,74.37
Citizens National Bank of Texas,Waxahachie,TX,1,1193900,895425.0,1193900.0,75.0
Liberty National Bank,Sioux City,IA,4,1188500,886925.0,297125.0,74.63
Highmark FCU,Rapid City,SD,5,1187000,844000.0,237400.0,71.1
Coasthills Federal Credit Union,Santa Maria,CA,5,1175000,605000.0,235000.0,51.49
HOMEBANK,Palmyra,MO,3,1174900,881175.0,391633.33,75.0
"The First National Bank and Trust Co, Chickasha, Oklahoma",Chickasha,OK,1,1170000,877500.0,1170000.0,75.0
Westside State Bank,Westside,IA,4,1170000,860500.0,292500.0,73.55
Educators CU,Mount Pleasant,WI,3,1168000,871800.0,389333.33,74.64
First Harrison Bank,Corydon,IN,7,1165900,870775.0,166557.14,74.69
The Lyon County State Bank,Emporia,KS,1,1150000,862500.0,1150000.0,75.0
Flagship Bank,Clearwater,FL,3,1150000,862500.0,383333.33,75.0
Heritage Bank of the Ozarks,Lebanon,MO,4,1146200,835900.0,286550.0,72.93
United Minnesota Bank,New London,MN,5,1146000,573000.0,229200.0,50.0
American United FCU,West Jordan,UT,5,1138800,826700.0,227760.0,72.59
Lyons Federal Bank,Lyons,KS,1,1135500,851625.0,1135500.0,75.0
City State Bank,Norwalk,IA,4,1125000,843750.0,281250.0,75.0
Bank of Belleville,Belleville,IL,3,1116200,732150.0,372066.67,65.59
"INB, National Association",Springfield,IL,3,1106300,792225.0,368766.67,71.61
Bank Midwest,Spirit Lake,IA,2,1106000,829500.0,553000.0,75.0
Blue Foundry Bank,Parsippany,NJ,2,1100000,825000.0,550000.0,75.0
The Shelby State Bank,Shelby,MI,1,1098200,823650.0,1098200.0,75.0
The First Security Bank,Beaver,OK,4,1096700,548350.0,274175.0,50.0
