lender_key,geography_key,date_key,reporting_period,approved_loan_count,approved_dollars,guaranty_dollars
1407,293,20240930,2024-09-30,5,11033500,8275125.0
795,1981,20240930,2024-09-30,10,11015000,6592250.0
1435,2006,20240930,2024-09-30,46,11010300,8116475.0
38,823,20240930,2024-09-30,6,10994400,8170800.0
1065,1488,20240930,2024-09-30,30,10983300,8292675.0
1219,1496,20240930,2024-09-30,44,10979000,7534000.0
733,122,20240930,2024-09-30,8,10972300,8011461.86
109,2258,20240930,2024-09-30,20,10954500,7207875.0
36,125,20240930,2024-09-30,8,10923400,8201800.0
905,254,20240930,2024-09-30,6,10910000,8182500.0
1217,2079,20240930,2024-09-30,7,10897600,8173200.0
795,1935,20240930,2024-09-30,3,10880000,8160000.0
479,146,20240930,2024-09-30,21,10877500,8112225.0
742,1466,20240930,2024-09-30,39,10872300,6377225.0
1093,863,20240930,2024-09-30,22,10850200,7410950.0
795,861,20240930,2024-09-30,8,10790000,7986250.0
192,545,20240930,2024-09-30,5,10720000,7915000.0
905,168,20240930,2024-09-30,14,10720000,7993750.0
1295,968,20240930,2024-09-30,70,10697600,7076740.0
1219,1472,20240930,2024-09-30,54,10655300,5992650.0
795,1992,20240930,2024-09-30,5,10632000,7974000.0
905,1714,20240930,2024-09-30,10,10599000,7916750.0
1077,1935,20240930,2024-09-30,4,10582800,7851600.0
1065,1466,20240930,2024-09-30,25,10576000,7973100.0
309,949,20240930,2024-09-30,17,10535000,6983750.0
197,2258,20240930,2024-09-30,4,10523000,7867250.0
384,280,20240930,2024-09-30,11,10519800,7852350.0
1219,857,20240930,2024-09-30,55,10509400,6737200.0
522,1948,20240930,2024-09-30,6,10473000,7667250.0
905,1385,20240930,2024-09-30,18,10455000,7846250.0
857,2006,20240930,2024-09-30,5,10418000,8488500.0
742,163,20240930,2024-09-30,24,10376400,6526050.0
1435,164,20240930,2024-09-30,55,10360100,7553825.0
951,640,20240930,2024-09-30,7,10356600,7686200.0
905,199,20240930,2024-09-30,12,10321000,7710750.0
818,882,20240930,2024-09-30,47,10320200,7104900.0
1386,261,20240930,2024-09-30,6,10315000,7573750.0
795,233,20240930,2024-09-30,5,10310000,6504500.0
36,122,20240930,2024-09-30,9,10293200,7719900.0
1295,188,20240930,2024-09-30,49,10272400,7425180.0
1219,1477,20240930,2024-09-30,146,10241100,5120550.0
1295,298,20240930,2024-09-30,24,10238100,7432425.0
795,1693,20240930,2024-09-30,6,10235000,7426250.0
286,293,20240930,2024-09-30,15,10190500,7629875.0
1065,122,20240930,2024-09-30,47,10187500,7828025.0
235,160,20240930,2024-09-30,15,10170900,7771175.0
905,1477,20240930,2024-09-30,30,10152000,7558000.0
1362,161,20240930,2024-09-30,41,10150400,5293700.0
479,1467,20240930,2024-09-30,4,10150000,7527500.0
1435,170,20240930,2024-09-30,18,10146500,7539875.0
310,1121,20240930,2024-09-30,7,10116000,7512920.0
1362,2272,20240930,2024-09-30,19,10104800,7419525.0
742,261,20240930,2024-09-30,49,10094700,5438425.0
1295,1519,20240930,2024-09-30,68,10061800,6628850.0
167,122,20240930,2024-09-30,15,10049100,6893075.0
1431,235,20240930,2024-09-30,27,10036200,6363650.0
905,1693,20240930,2024-09-30,12,10035000,7484250.0
1065,541,20240930,2024-09-30,53,10033000,7662600.0
109,298,20240930,2024-09-30,16,10007500,6663500.0
1407,280,20240930,2024-09-30,11,10003000,7502250.0
860,564,20240930,2024-09-30,2,10000000,7500000.0
1142,361,20240930,2024-09-30,2,10000000,7500000.0
121,709,20240930,2024-09-30,2,10000000,7500000.0
666,1466,20240930,2024-09-30,11,10000000,7527500.0
618,2228,20240930,2024-09-30,2,10000000,7500000.0
264,1977,20240930,2024-09-30,7,9977200,7417853.76
1021,1274,20240930,2024-09-30,7,9956000,7360750.0
1373,1349,20240930,2024-09-30,30,9936400,7205985.0
522,122,20240930,2024-09-30,5,9925000,7406250.0
905,252,20240930,2024-09-30,15,9920000,7387500.0
1362,2268,20240930,2024-09-30,27,9914000,7284550.0
1362,165,20240930,2024-09-30,17,9903900,7303775.0
1065,1472,20240930,2024-09-30,27,9880000,7433350.0
109,163,20240930,2024-09-30,19,9870100,6251325.0
235,164,20240930,2024-09-30,19,9867600,7565200.0
795,477,20240930,2024-09-30,3,9850000,7262500.0
1362,1516,20240930,2024-09-30,34,9833000,7086875.0
795,2079,20240930,2024-09-30,8,9820000,7340000.0
905,2125,20240930,2024-09-30,14,9810000,7402500.0
1466,2006,20240930,2024-09-30,44,9800200,7173110.0
905,2315,20240930,2024-09-30,7,9800000,7365000.0
905,268,20240930,2024-09-30,21,9797000,7377750.0
235,146,20240930,2024-09-30,44,9772400,7804040.0
1368,146,20240930,2024-09-30,7,9751700,7263775.0
857,293,20240930,2024-09-30,6,9733000,7483050.0
1295,564,20240930,2024-09-30,42,9725000,6703250.0
618,541,20240930,2024-09-30,3,9703000,7277250.0
795,353,20240930,2024-09-30,4,9700000,7050000.0
522,5,20240930,2024-09-30,4,9700000,7200000.0
656,826,20240930,2024-09-30,7,9697300,8022975.0
121,355,20240930,2024-09-30,6,9681000,7260750.0
1409,2079,20240930,2024-09-30,4,9657000,7242750.0
795,158,20240930,2024-09-30,4,9650000,7252500.0
587,1714,20240930,2024-09-30,7,9646000,7134500.0
818,1451,20240930,2024-09-30,87,9624400,6585250.0
1295,355,20240930,2024-09-30,25,9608000,7019750.0
1435,161,20240930,2024-09-30,29,9602200,7107900.0
522,978,20240930,2024-09-30,11,9592000,7194000.0
1295,623,20240930,2024-09-30,51,9571300,6735545.0
1219,1388,20240930,2024-09-30,66,9565500,5495500.0
163,2006,20240930,2024-09-30,59,9562300,7886345.0
795,268,20240930,2024-09-30,6,9550000,7037500.0
905,265,20240930,2024-09-30,20,9540000,7021250.0
235,143,20240930,2024-09-30,5,9508000,7141000.0
1368,2258,20240930,2024-09-30,74,9490500,6208700.0
795,1300,20240930,2024-09-30,17,9453200,7018650.0
1183,122,20240930,2024-09-30,6,9439000,7079250.0
1004,1619,20240930,2024-09-30,3,9399500,7049625.0
795,1460,20240930,2024-09-30,8,9395000,6671250.0
1219,1679,20240930,2024-09-30,54,9378000,5846400.0
951,2331,20240930,2024-09-30,5,9376300,6782225.0
236,541,20240930,2024-09-30,7,9353900,6979825.0
1065,160,20240930,2024-09-30,31,9323000,7139600.0
1431,247,20240930,2024-09-30,23,9321400,6190050.0
1466,146,20240930,2024-09-30,21,9300300,6867225.0
1362,697,20240930,2024-09-30,20,9288900,6798075.0
951,997,20240930,2024-09-30,4,9272500,6854375.0
522,640,20240930,2024-09-30,8,9272000,6679000.0
1065,1424,20240930,2024-09-30,37,9268800,7069600.0
463,1460,20240930,2024-09-30,16,9257000,7265250.0
838,353,20240930,2024-09-30,2,9240000,6930000.0
38,831,20240930,2024-09-30,5,9235000,6918750.0
522,2006,20240930,2024-09-30,7,9230700,6810525.0
905,1274,20240930,2024-09-30,11,9225000,6961250.0
799,361,20240930,2024-09-30,6,9172800,6879600.0
10,199,20240930,2024-09-30,2,9170000,6877500.0
853,595,20240930,2024-09-30,4,9160000,6745000.0
522,545,20240930,2024-09-30,3,9156000,6804500.0
795,10,20240930,2024-09-30,4,9150000,6800000.0
1424,2088,20240930,2024-09-30,8,9122000,6841500.0
156,2258,20240930,2024-09-30,39,9077000,5263375.0
795,286,20240930,2024-09-30,5,9075000,6681250.0
197,146,20240930,2024-09-30,6,9062000,6796500.0
795,1086,20240930,2024-09-30,3,9050000,6787500.0
933,1523,20240930,2024-09-30,12,9045000,6602500.0
618,163,20240930,2024-09-30,4,9042000,6781500.0
522,341,20240930,2024-09-30,4,9039000,6691750.0
1226,2079,20240930,2024-09-30,6,9036000,6652000.0
795,2176,20240930,2024-09-30,4,9030000,6351800.0
905,236,20240930,2024-09-30,8,9030000,6767500.0
933,1516,20240930,2024-09-30,15,9028000,6514750.0
1454,1379,20240930,2024-09-30,8,9000000,6562500.0
795,1121,20240930,2024-09-30,6,8971000,6668250.0
905,868,20240930,2024-09-30,7,8969600,6747700.0
1139,1573,20240930,2024-09-30,3,8960000,6720000.0
834,1679,20240930,2024-09-30,8,8959000,6588000.0
754,2268,20240930,2024-09-30,16,8957900,6569850.0
795,1953,20240930,2024-09-30,2,8900000,6675000.0
479,122,20240930,2024-09-30,14,8878600,6672700.0
1070,1081,20240930,2024-09-30,18,8870800,6562030.0
1373,1338,20240930,2024-09-30,22,8869900,6217915.0
1295,1460,20240930,2024-09-30,16,8861500,6422375.0
1321,927,20240930,2024-09-30,12,8845400,6547100.0
472,146,20240930,2024-09-30,6,8799000,7137550.0
977,300,20240930,2024-09-30,11,8794600,6432200.0
540,1680,20240930,2024-09-30,4,8794500,5395875.0
1248,280,20240930,2024-09-30,12,8754500,6465875.0
1139,2006,20240930,2024-09-30,2,8740000,6555000.0
1139,299,20240930,2024-09-30,2,8725000,6543750.0
1065,341,20240930,2024-09-30,17,8710500,6589325.0
795,968,20240930,2024-09-30,2,8700000,6525000.0
795,1435,20240930,2024-09-30,5,8675000,6443750.0
1417,541,20240930,2024-09-30,15,8669000,6183000.0
34,2006,20240930,2024-09-30,5,8665600,6424200.0
203,2315,20240930,2024-09-30,4,8650000,6425000.0
163,164,20240930,2024-09-30,51,8644200,7116410.0
1295,1544,20240930,2024-09-30,85,8592600,5661650.0
1362,1977,20240930,2024-09-30,14,8588900,6314125.0
795,598,20240930,2024-09-30,5,8575000,6231250.0
38,816,20240930,2024-09-30,7,8537100,6428025.0
963,2255,20240930,2024-09-30,3,8520000,6390000.0
795,269,20240930,2024-09-30,7,8510000,6157500.0
1219,268,20240930,2024-09-30,19,8501000,6937000.0
905,1389,20240930,2024-09-30,12,8475000,6386250.0
905,301,20240930,2024-09-30,13,8463000,6397250.0
905,1523,20240930,2024-09-30,13,8458000,6337750.0
247,424,20240930,2024-09-30,85,8426500,5213250.0
1362,168,20240930,2024-09-30,22,8418200,6131050.0
309,1977,20240930,2024-09-30,12,8412500,5718125.0
905,978,20240930,2024-09-30,19,8407400,6239800.0
41,203,20240930,2024-09-30,16,8375200,6292700.0
795,1257,20240930,2024-09-30,7,8371000,4546290.0
163,541,20240930,2024-09-30,62,8355500,7052775.0
933,1695,20240930,2024-09-30,16,8352100,5989075.0
945,1087,20240930,2024-09-30,12,8348300,6313805.0
1362,1888,20240930,2024-09-30,23,8345400,6094175.0
117,2184,20240930,2024-09-30,4,8342000,6094000.0
905,305,20240930,2024-09-30,10,8335000,6253750.0
905,855,20240930,2024-09-30,7,8320000,6187500.0
1065,1977,20240930,2024-09-30,27,8315500,6244125.0
197,302,20240930,2024-09-30,4,8308000,6206000.0
951,1051,20240930,2024-09-30,4,8263200,6072400.0
420,1977,20240930,2024-09-30,5,8259800,6194850.0
380,298,20240930,2024-09-30,6,8254000,6028000.0
479,2315,20240930,2024-09-30,3,8251000,6203250.0
795,2128,20240930,2024-09-30,4,8234000,6175500.0
795,250,20240930,2024-09-30,7,8225500,6019125.0
618,268,20240930,2024-09-30,2,8202000,6151500.0
1093,866,20240930,2024-09-30,15,8190900,5874825.0
158,541,20240930,2024-09-30,9,8171200,5950100.0
